Original Work,Original Artist,Song ID,First Song Link,Second Song,Second Artist,Song ID,Second Song Link,Court decision
Good Times (1979),Chic,SONG_ID_21,https://www.youtube.com/watch?v=Er9xGRolrT4,Rapper's Delight (1979),The Sugarhill Gang,SONG_ID_22,https://www.youtube.com/watch?v=G4OQcJDHU4k,Yes
I Want a New Drug (1984),Huey Lewis and the News,SONG_ID_23,https://www.youtube.com/watch?v=N6uEMOeDZsA,Ghostbusters (1984),Ray Parker Jr.,SONG_ID_24,https://www.youtube.com/watch?v=ExZxocBRumc,Yes
Pour toi (1957),"Louis ""Loulou"" Gasté",SONG_ID_25,https://www.youtube.com/watch?v=t9l_gHcC6mw,Feelings (1976),Morris Albert,SONG_ID_26,https://www.youtube.com/watch?v=CyBcHUe4WeQ,Yes
You Need Love (1963),Muddy Waters,SONG_ID_27,https://www.youtube.com/watch?v=pM8_HuQ0b34,Whole Lotta Love (1969),Led Zeppelin,SONG_ID_28,https://www.youtube.com/watch?v=HibBnC6SVk8,Yes
Sugar Don't Bite (1984),Sam Harris,SONG_ID_29,https://www.youtube.com/watch?v=RkwH_wQxtuA,Papa Don't Preach (1986),Madonna,SONG_ID_30,https://www.youtube.com/watch?v=JcM94xM6dV8,Yes
Just Another Night,Patrick Alley,SONG_ID_31,https://www.youtube.com/watch?v=D-bavvXleZ8,Just Another Night (1985),Mick Jagger,SONG_ID_32,https://www.youtube.com/watch?v=4Lum1anp7V8,No
Run Through the Jungle (1970),Creedence Clearwater Revival,SONG_ID_33,https://www.youtube.com/watch?v=_7PUPNxsRQ0,The Old Man Down the Road (1984),John Fogerty,SONG_ID_34,https://www.youtube.com/watch?v=gzah7VD_PM4,No
You Showed Me (1968),The Turtles,SONG_ID_35,https://www.youtube.com/watch?v=ItfoFXkhqGw,Transmitting Live from Mars (1989),De La Soul,SONG_ID_36,https://www.youtube.com/watch?v=7nFCOYP1Tow,Yes
Babe I'm Gonna Leave You,Anne Bredon,SONG_ID_37,https://www.youtube.com/watch?v=8Gz-84vXQhA,Babe I'm Gonna Leave You (1969),Led Zeppelin,SONG_ID_38,https://www.youtube.com/watch?v=zX_wwlIZ6ko,Yes
Going to a Go-Go,Smokey Robinson and the Miracles,SONG_ID_39,https://www.youtube.com/watch?v=sWt4Hz1KGcQ,Every Little Thing (1990),Jeff Lynne,SONG_ID_40,https://www.youtube.com/watch?v=OxY63jXeZ_E,Yes
I'm a Roadrunner (1966),Junior Walker and the All-Stars,SONG_ID_41,https://www.youtube.com/watch?v=bjAdfZp8mWw,Roll with It (1988),Steve Winwood,SONG_ID_42,https://www.youtube.com/watch?v=u_vkKozA8OI,Yes
Leaving on a Jet Plane (1966),John Denver,SONG_ID_43,https://www.youtube.com/watch?v=SneCkM0bJq0,Run 2 (1989),New Order,SONG_ID_44,https://www.youtube.com/watch?v=o6095PktJVY,Yes
Best of My Love (1977),Maurice White,SONG_ID_45,https://www.youtube.com/watch?v=EbwXoN-XU5I,Emotions (1991),Mariah Carey,SONG_ID_46,https://www.youtube.com/watch?v=NMtnC95Ez-s,Yes
Eighties (1985),Killing Joke,SONG_ID_47,https://www.youtube.com/watch?v=x1U1Ue_5kq8,Come as You Are (1991),Nirvana,SONG_ID_48,https://www.youtube.com/watch?v=vabnZ9-ex7o,Yes
How Sweet to Be an Idiot (1973),Neil Innes,SONG_ID_49,https://www.youtube.com/watch?v=nZ9EWcaS7II,Whatever (1994),Oasis,SONG_ID_50,https://www.youtube.com/watch?v=i8H7omLry3c,Yes
Love Is a Wonderful Thing (1964),The Isley Brothers,SONG_ID_51,https://www.youtube.com/watch?v=MWh3GF8wrug,Love Is a Wonderful Thing (1991),Michael Bolton,SONG_ID_52,https://www.youtube.com/watch?v=H_ezMbv2sr4,Yes
(I'd Do) Anything for You (1989),Jon Dunmore Sinclair,SONG_ID_53,https://www.youtube.com/watch?v=alhCAc_yAJY,I'd Do Anything for Love (1993),Meat Loaf,SONG_ID_54,https://www.youtube.com/watch?v=124orGwEdck,Yes
Under Pressure (1981),Queen and David Bowie,SONG_ID_55,https://www.youtube.com/watch?v=a01QQZyl-_I,Ice Ice Baby (1990),Vanilla Ice,SONG_ID_56,https://www.youtube.com/watch?v=8819CVkxKPk,Yes
Al Yawm Ulliqa Alal Khashaba (1962),Fairuz,SONG_ID_57,https://www.youtube.com/watch?v=FjDIs3Qy-qk,Erotica (1992),Madonna,SONG_ID_58,https://www.youtube.com/watch?v=ymbmwaVO_ik,Yes
The Air That I Breathe (1972),Albert Hammond and Mike Hazlewood,SONG_ID_59,https://www.youtube.com/watch?v=9HglphdXqMg,Creep (1992),Radiohead,SONG_ID_60,https://www.youtube.com/watch?v=zFYEYRcjK2g,Yes
Dive,Ed Sheeran,SONG_ID_61,https://www.youtube.com/watch?v=Wv2rLZmbPMA,Save Myself,Ed Sheeran,SONG_ID_62,https://www.youtube.com/watch?v=qXM0JdAwabU,Undecided
Supermarket Flowers,Ed Sheeran,SONG_ID_63,https://www.youtube.com/watch?v=bIB8EWqCPrQ,Nancy Mulligan,Ed Sheeran,SONG_ID_64,https://www.youtube.com/watch?v=VFlZXlfda6Y,Undecided
Maps,Maroon 5,SONG_ID_65,https://www.youtube.com/watch?v=xj6fHiF8Osg,Tonight,FM Static,SONG_ID_66,https://www.youtube.com/watch?v=Unj9Ij_u0-E,Undecided
Sugar,Maroon 5,SONG_ID_67,https://www.youtube.com/watch?v=iPcX6EpJI3o,Sunday Morning,Maroon 5,SONG_ID_68,https://www.youtube.com/watch?v=U9-f4Mosb_A,Undecided
"""Let's Get It On"" (1973)",Marvin Gaye,SONG_ID_69,https://youtu.be/54LgyqSPfsQ?si=KDk0GG1zFo18MUzy,"""Thinking Out Loud"" (2014)",Ed Sheeran,SONG_ID_70,https://youtu.be/WpyfrixXBqU?si=Z1FoO_IKlSPWCxd_,No
"""Oh Why"" (2015)",Sami Switch,SONG_ID_71,https://www.youtube.com/watch?v=GeH-ObndT7M,"""Shape of You"" (2017)",Ed Sheeran,SONG_ID_72,https://youtu.be/JGwWNGJdvx8?si=ogPkOOmVrtawSQYV,No
"""If I Could Fly"" (2004)",Joe Satriani,SONG_ID_73,https://youtu.be/8RJmiMq1pOA?si=mgReCIsHZbX4YTya,"""Viva la Vida"" (2008)",Coldplay,SONG_ID_74,https://youtu.be/dvgZkm1xWPE?si=rRJoVzCxXbOgxb5a,No
"""Playas Gon' Play"" (2001)",3LW,SONG_ID_75,https://youtu.be/dD9A8x_xn5g?si=I9OvVM7zYMjrzRsO,"""Shake It Off"" (2014)",Taylor Swift,SONG_ID_76,https://youtu.be/nfWlot6h_JM?si=kKo0ZWHpfY4PNm64,No
"""Taurus"" (1968)",Spirit,SONG_ID_77,https://youtu.be/gFHLO_2_THg?si=TaI2B64TG4NX3DmG,"""Stairway to Heaven"" (1971)",Led Zeppelin,SONG_ID_78,https://youtu.be/QkF3oxziUI4?si=-UgeH6W1GOwjiWk2,No
"""Funk You Up"" (1979)",The Sequence,SONG_ID_79,https://youtu.be/najXKFC9ou8?si=gCf_xXkPeskSxVwN,"""Uptown Funk"" (2014)","Mark Ronson, Bruno Mars",SONG_ID_80,https://youtu.be/7Ya2U8XN_Zw?si=kVUgnEt1YOkZ6vVl,No
Mercy,Shawn Mendes,SONG_ID_81,https://www.youtube.com/watch?v=KkGVmN68ByU,Mercy (cover),Jason Chen,SONG_ID_82,https://youtu.be/BR9YzyDI6Ok,Undecided
Wonder,Shawn Mendes,SONG_ID_83,https://youtu.be/fHeQemJJQII,Wonder (cover),James Major,SONG_ID_84,https://youtu.be/8p-MA5Id6xs,Undecided
Monster,Shawn Mendes,SONG_ID_85,https://youtu.be/MPbUaIZAaeA,Monster (cover),Jason Chen & Joseph Vincent,SONG_ID_86,https://youtu.be/f8XJez9een4,Undecided
Not Like Us,Kendrick Lamar,SONG_ID_87,https://youtu.be/H58vbez_m4E,I Believe to My Soul,Monk Higgins,SONG_ID_88,https://youtu.be/WRLReQpJFmM,Undecided
Like That,Future and Metro Boomin feat. Kendrick Lamar,SONG_ID_89,https://youtu.be/N9bKBAA22Go,Everlasting Bass,Rodney O and Joe Cooley,SONG_ID_90,https://youtu.be/XllU_hAVTBE,Undecided
Meet the Grahams,Kendrick Lamar,SONG_ID_91,https://youtu.be/2QiFl9Dc7D0,I Want to Make It,Timothy Carpenter and Triunity,SONG_ID_92,https://youtu.be/FCzVhcD5rc4,Undecided
